Date,City,Cause of Death
10/25/2003,Shkin -  Afghanistan,Terrorist Action
10/25/2003,Shkin -  Afghanistan,Terrorist Action
8/29/2004,Kabul -  Afghanistan,Terrorist Action
8/29/2004,Kabul -  Afghanistan,Terrorist Action
8/29/2004,Kabul -  Afghanistan,Terrorist Action
10/23/2004,Kabul -  Afghanistan,Terrorist Action
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Air Accident
4/6/2005,Ghazni -  Afghanistan,Air Accident
4/6/2005,Ghazni -  Afghanistan,Air Accident
4/6/2005,Ghazni -  Afghanistan,Air Accident
4/23/2005,Ghazni -  Afghanistan,Veh. Accident-Auto
6/1/2005,Kandahar -  Afghanistan,Terrorist Action
6/25/2005,Bagram Air Base -  Afghanistan,Suicide
8/13/2008,Logar -  Afghanistan,Terrorist Action
6/13/2009,Kabul -  Kabul -  Afghanistan,Drug-Related
7/4/2009,Kabul - Kabul -  Afghanistan,Veh. Accid-Auto
7/19/2009,Kabul -  Kabul -  Aghanistan,Terrorist Action
8/13/2009,Kabul -  Kabul -  Aghanistan,Terrorist Action
8/15/2009,Kabul City - Kabul -  Aghanistan,Terrorist Action
8/15/2009,Kabul -  Kabul -  Aghanistan,Terrorist Action
8/16/2009,Kabul - Kabul -  Aghanistan,Terrorist Action
8/20/2009,Kabul -  Kabul -  Aghanistan,Terrorist Action
9/20/2009,Kabul -  Kabul -  Aghanistan,Terrorist Action
10/28/2009,Kabul -  Kabul -  Aghanistan,Terrorist Action
11/17/2009,Kabul -  Kabul -  Aghanistan,Terrorist Action
12/6/2009,Kabul -  Kabul -  Aghanistan,Drug-Related
12/24/2009,Kabul -  Kabul -  Aghanistan,Veh. Accid-Auto
5/17/2010,Kabul - Kabul -  Afghanistan,Air Accident
5/19/2010,Bagram - Parwan -  Afghanistan,Terrorist Action
6/7/2010,Kandahar City - Kandahar -  Afghanistan,Terrorist Action
