,Date,City,Country,Cause of Death,Year,Month
0,10/25/2003,Shkin -  Afghanistan,Afghanistan,terrorist action,2003,10
1,10/25/2003,Shkin -  Afghanistan,Afghanistan,terrorist action,2003,10
2,8/29/2004,Kabul -  Afghanistan,Afghanistan,terrorist action,2004,8
3,8/29/2004,Kabul -  Afghanistan,Afghanistan,terrorist action,2004,8
4,8/29/2004,Kabul -  Afghanistan,Afghanistan,terrorist action,2004,8
5,10/23/2004,Kabul -  Afghanistan,Afghanistan,terrorist action,2004,10
6,11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Afghanistan,air accident,2004,11
7,11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Afghanistan,air accident,2004,11
8,11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Afghanistan,air accident,2004,11
9,11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Afghanistan,air accident,2004,11
10,2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,air accident,2005,2
11,2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,air accident,2005,2
12,2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,air accident,2005,2
13,2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,air accident,2005,2
14,2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,air accident,2005,2
15,2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,air accident,2005,2
16,4/6/2005,Ghazni -  Afghanistan,Afghanistan,air accident,2005,4
17,4/6/2005,Ghazni -  Afghanistan,Afghanistan,air accident,2005,4
18,4/6/2005,Ghazni -  Afghanistan,Afghanistan,air accident,2005,4
19,4/23/2005,Ghazni -  Afghanistan,Afghanistan,vehicle accident,2005,4
20,6/1/2005,Kandahar -  Afghanistan,Afghanistan,terrorist action,2005,6
21,6/25/2005,Bagram Air Base -  Afghanistan,Afghanistan,suicide,2005,6
22,8/13/2008,Logar -  Afghanistan,Afghanistan,terrorist action,2008,8
23,6/13/2009,Kabul -  Kabul -  Afghanistan,Afghanistan,drug-related,2009,6
24,7/4/2009,Kabul - Kabul -  Afghanistan,Afghanistan,vehicle accident,2009,7
25,7/19/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,terrorist action,2009,7
26,8/13/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,terrorist action,2009,8
27,8/15/2009,Kabul City - Kabul -  Aghanistan,Afghanistan,terrorist action,2009,8
28,8/15/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,terrorist action,2009,8
29,8/16/2009,Kabul - Kabul -  Aghanistan,Afghanistan,terrorist action,2009,8
30,8/20/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,terrorist action,2009,8
31,9/20/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,terrorist action,2009,9
32,10/28/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,terrorist action,2009,10
33,11/17/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,terrorist action,2009,11
34,12/6/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,drug-related,2009,12
35,12/24/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,vehicle accident,2009,12
36,5/17/2010,Kabul - Kabul -  Afghanistan,Afghanistan,air accident,2010,5
37,5/19/2010,Bagram - Parwan -  Afghanistan,Afghanistan,terrorist action,2010,5
38,6/7/2010,Kandahar City - Kandahar -  Afghanistan,Afghanistan,terrorist action,2010,6
39,6/17/2010,Kabul - Kabul -  Afghanistan,Afghanistan,suicide,2010,6
40,7/10/2010,Kandahar City -  Kandahar -  Afghanistan,Afghanistan,terrorist action,2010,7
41,7/20/2010,Kabul -  Afghanistan,Afghanistan,homicide,2010,7
42,7/20/2010,Kabul -  Afghanistan,Afghanistan,homicide,2010,7
43,7/29/2010,Sheberghan City -  Sheberghan -  Afghanistan,Afghanistan,terrorist action,2010,7
44,8/5/2010,Faizabad -  Badakhan -  Afghanistan,Afghanistan,terrorist action,2010,8
45,8/5/2010,Faizabad -  Badakhshan -  Afghanistan,Afghanistan,terrorist action,2010,8
46,8/5/2010,Faizabad -  Badakhshan -  Afghanistan,Afghanistan,terrorist action,2010,8
47,8/5/2010,Faizabad -  Badakhshan -  Afghanistan,Afghanistan,terrorist action,2010,8
48,8/5/2010,Faizabad -  Badakhshan -  Afghanistan,Afghanistan,terrorist action,2010,8
49,8/5/2010,Faizabad -  Badakhshan -  Afghanistan,Afghanistan,terrorist action,2010,8
50,9/6/2010,Kabul -  Afghanistan,Afghanistan,terrorist action,2010,9
51,9/6/2010,Kabul -  Afghanistan,Afghanistan,terrorist action,2010,9
52,9/6/2010,Kandahar -  Afghanistan,Afghanistan,terrorist action,2010,9
53,9/6/2010,Kandahar -  Afghanistan,Afghanistan,terrorist action,2010,9
54,9/7/2010,Kandahar -  Afghanistan,Afghanistan,terrorist action,2010,9
55,2/7/2011,Kandahar -  Afghanistan,Afghanistan,terrorist action,2011,2
56,4/27/2011,Kabul -  Afghanistan,Afghanistan,terrorist action,2011,4
57,4/28/2011,FOB Bermel/Boris -  Afghanistan,Afghanistan,terrorist action,2011,4
58,6/4/2011,Laghman Province -  Afghanistan,Afghanistan,terrorist action,2011,6
59,7/9/2011,Panjshir -  Afghanistan,Afghanistan,homicide,2011,7
