Date,City,Country,Cause of Death
10/25/2003,Shkin -  Afghanistan,Afghanistan,Terrorist Action
10/25/2003,Shkin -  Afghanistan,Afghanistan,Terrorist Action
8/29/2004,Kabul -  Afghanistan,Afghanistan,Terrorist Action
8/29/2004,Kabul -  Afghanistan,Afghanistan,Terrorist Action
8/29/2004,Kabul -  Afghanistan,Afghanistan,Terrorist Action
10/23/2004,Kabul -  Afghanistan,Afghanistan,Terrorist Action
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Afghanistan,Air Accident
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Afghanistan,Air Accident
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Afghanistan,Air Accident
11/27/2004,Baba Mountain -  Bamian Province -  Afghanistan,Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,Air Accident
2/3/2005,Koh-e-chapari -  Afghanistan,Afghanistan,Air Accident
4/6/2005,Ghazni -  Afghanistan,Afghanistan,Air Accident
4/6/2005,Ghazni -  Afghanistan,Afghanistan,Air Accident
4/6/2005,Ghazni -  Afghanistan,Afghanistan,Air Accident
4/23/2005,Ghazni -  Afghanistan,Afghanistan,Veh. Accident-Auto
6/1/2005,Kandahar -  Afghanistan,Afghanistan,Terrorist Action
6/25/2005,Bagram Air Base -  Afghanistan,Afghanistan,Suicide
8/13/2008,Logar -  Afghanistan,Afghanistan,Terrorist Action
6/13/2009,Kabul -  Kabul -  Afghanistan,Afghanistan,Drug-Related
7/4/2009,Kabul - Kabul -  Afghanistan,Afghanistan,Veh. Accid-Auto
7/19/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,Terrorist Action
8/13/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,Terrorist Action
8/15/2009,Kabul City - Kabul -  Aghanistan,Afghanistan,Terrorist Action
8/15/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,Terrorist Action
8/16/2009,Kabul - Kabul -  Aghanistan,Afghanistan,Terrorist Action
8/20/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,Terrorist Action
9/20/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,Terrorist Action
10/28/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,Terrorist Action
11/17/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,Terrorist Action
12/6/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,Drug-Related
12/24/2009,Kabul -  Kabul -  Aghanistan,Afghanistan,Veh. Accid-Auto
5/17/2010,Kabul - Kabul -  Afghanistan,Afghanistan,Air Accident
5/19/2010,Bagram - Parwan -  Afghanistan,Afghanistan,Terrorist Action
6/7/2010,Kandahar City - Kandahar -  Afghanistan,Afghanistan,Terrorist Action
6/17/2010,Kabul - Kabul -  Afghanistan,Afghanistan,Suicide
7/10/2010,Kandahar City -  Kandahar -  Afghanistan,Afghanistan,Terrorist Action
7/20/2010,Kabul -  Afghanistan,Afghanistan,Homicide
7/20/2010,Kabul -  Afghanistan,Afghanistan,Homicide
7/29/2010,Sheberghan City -  Sheberghan -  Afghanistan,Afghanistan,Terrorist Action
8/5/2010,Faizabad -  Badakhan -  Afghanistan,Afghanistan,Terrorist Action
8/5/2010,Faizabad -  Badakhshan -  Afghanistan,Afghanistan,Terrorist Action
8/5/2010,Faizabad -  Badakhshan -  Afghanistan,Afghanistan,Terrorist Action
8/5/2010,Faizabad -  Badakhshan -  Afghanistan,Afghanistan,Terrorist Action
8/5/2010,Faizabad -  Badakhshan -  Afghanistan,Afghanistan,Terrorist Action
8/5/2010,Faizabad -  Badakhshan -  Afghanistan,Afghanistan,Terrorist Action
9/6/2010,Kabul -  Afghanistan,Afghanistan,Terrorist Action
9/6/2010,Kabul -  Afghanistan,Afghanistan,Terrorist Action
9/6/2010,Kandahar -  Afghanistan,Afghanistan,Terrorist Action
9/6/2010,Kandahar -  Afghanistan,Afghanistan,Terrorist Action
9/7/2010,Kandahar -  Afghanistan,Afghanistan,Terrorist Action
2/7/2011,Kandahar -  Afghanistan,Afghanistan,Terrorist Action
4/27/2011,Kabul -  Afghanistan,Afghanistan,Terrorist Action
4/28/2011,FOB Bermel/Boris -  Afghanistan,Afghanistan,Terrorist Action
6/4/2011,Laghman Province -  Afghanistan,Afghanistan,Terrorist Action
7/9/2011,Panjshir -  Afghanistan,Afghanistan,Homicide
7/27/2011,Kandahar Province -  Afghanistan,Afghanistan,Terrorist Action
7/30/2011,Samangan Province -  Afghanistan,Afghanistan,Veh. Accid-Auto
9/5/2011,Ghazni Province -  Afghanistan,Afghanistan,Terrorist Action
